state	party	last_name	first_name	full_name	screen_name	senate_rank	senate_class		state_population	state_population_voters	name	followers_count	friends_count	listed_count	twitter_join_date	twitter_age	favourites_count	statuses_count	profile_background_color	profile_image_url	profile_banner_url	profile_link_color	profile_sidebar_border_color	profile_sidebar_fill_color	profile_text_color
NH	Democrat	Hassan	Margaret	Margaret Wood Hassan	SenatorHassan	junior	3		1291410	1027630	Sen. Maggie Hassan	144385	530	1432	2012-11-13	7	175	7829	C0DEED	http://pbs.twimg.com/profile_images/816304745799356416/m1OJdlNI_normal.jpg	https://pbs.twimg.com/profile_banners/946549322/1483457252	1DA1F2	C0DEED	DDEEF6	333333
NH	Democrat	Shaheen	Jeanne	Jeanne Shaheen	SenatorShaheen	senior	2		1291410	1027630	Sen. Jeanne Shaheen	108669	2907	2351	2010-01-28	9	407	8568	B2DFDA	http://pbs.twimg.com/profile_images/994599196652199936/zKIvaqMU_normal.jpg	https://pbs.twimg.com/profile_banners/109287731/1573077275	93A644	EEEEEE	FFFFFF	333333
NJ	Democrat	Booker	Cory	Cory A. Booker	SenBooker	junior	2		8019215	6087275	Sen. Cory Booker	142829	5890	1927	2013-10-31	6	1350	5316	C0DEED	http://pbs.twimg.com/profile_images/827586956376829952/F-rxck4H_normal.jpg	https://pbs.twimg.com/profile_banners/2167097881/1516035218	1DA1F2	C0DEED	DDEEF6	333333
NJ	Democrat	Men'endez	Robert	Robert Menendez	SenatorMenendez	senior	1		8019215	6087275	Senator Bob Menendez	170550	997	3857	2009-01-06	10	2263	11483	273447	http://pbs.twimg.com/profile_images/1138088998419800064/bGqy6DbH_normal.png	https://pbs.twimg.com/profile_banners/18695134/1545829307	3283D1	C6E2EE	DAECF4	663B12
NM	Democrat	Heinrich	Martin	Martin Heinrich	MartinHeinrich	junior	1		1954250	1464240	Martin Heinrich	191711	575	1960	2013-01-17	6	687	7796	C0DEED	http://pbs.twimg.com/profile_images/1091387172282867718/pNhlcC9I_normal.jpg	https://pbs.twimg.com/profile_banners/1099199839/1572358228	0084B4	FFFFFF	DDEEF6	333333
NM	Democrat	Udall	Tom	Tom Udall	SenatorTomUdall	senior	2		1954250	1464240	Tom Udall	172155	343	2398	2009-07-28	10	37	6805	FFFFFF	http://pbs.twimg.com/profile_images/847475846944182272/HKMEaecM_normal.jpg	https://pbs.twimg.com/profile_banners/60828944/1447107599	FF4E3E	FFFFFF	BDDEDE	0
NV	Democrat	Cortez Masto	Catherine	Catherine Cortez Masto	SenCortezMasto	senior	3		2547140	1902285	Senator Cortez Masto	39566	841	924	2016-12-20	2	1379	6024	F5F8FA	http://pbs.twimg.com/profile_images/1068180241258995712/DFf2se46_normal.jpg	https://pbs.twimg.com/profile_banners/811313565760163844/1543508943	1DA1F2	C0DEED	DDEEF6	333333
NV	Democrat	Rosen	Jacky	Jacky Rosen	SenJackyRosen	junior	1		2547140	1902285	Senator Jacky Rosen	22880	268	578	2017-01-09	2	165	4716	F5F8FA	http://pbs.twimg.com/profile_images/1085182795142574080/E0sTwPIJ_normal.jpg	https://pbs.twimg.com/profile_banners/818554054309715969/1546525180	1DA1F2	C0DEED	DDEEF6	333333
NY	Democrat	Gillibrand	Kirsten	Kirsten E. Gillibrand	gillibrandny	junior	1		17677055	13605860	Sen. Kirsten Gillibrand	11169	225	491	2017-08-22	2	137	633	F5F8FA	http://pbs.twimg.com/profile_images/1122951029606297602/LjBFG3YX_normal.jpg	https://pbs.twimg.com/profile_banners/899978622416695297/1565303530	1DA1F2	C0DEED	DDEEF6	333333
NY	Democrat	Schumer	Charles	Charles E. Schumer	SenSchumer	senior	3		17677055	13605860	Chuck Schumer	1962487	25504	10556	2008-11-19	11	215	16107	43090B	http://pbs.twimg.com/profile_images/978655909198036993/Gpnx2Os2_normal.jpg	https://pbs.twimg.com/profile_banners/17494010/1522865010	FF6005	FFFFFF	E7E9EF	333333
OH	Democrat	Brown	Sherrod	Sherrod Brown	SenSherrodBrown	senior	1		11348025	8734130	Sherrod Brown	383310	221	4332	2009-06-01	10	75	6505	F1F2EA	http://pbs.twimg.com/profile_images/523158370333638657/cLmYIfYa_normal.jpeg	https://pbs.twimg.com/profile_banners/43910797/1397501269	1E4CA1	598541	EBEAD9	663B12
OH	Republican	Portman	Robert	Rob Portman	senrobportman	junior	3		11348025	8734130	Rob Portman	141618	4991	3148	2009-01-12	10	415	16692	0074DB	http://pbs.twimg.com/profile_images/1037435418743107590/9hbhXXal_normal.jpg	https://pbs.twimg.com/profile_banners/18915145/1452004224	106CB7	26C905	FFFFFF	0
OK	Republican	Inhofe	James	James M. Inhofe	JimInhofe	senior	2		3725970	2787655	Jim Inhofe	55104	349	2209	2007-07-05	12	93	2313	C0DEED	http://pbs.twimg.com/profile_images/847193851496411136/d1spdzhn_normal.jpg	https://pbs.twimg.com/profile_banners/7270292/1418070273	0084B4	C0DEED	DDEEF6	333333
OK	Republican	Lankford	James	James Lankford	SenatorLankford	junior	3		3725970	2787655	Sen. James Lankford	78707	491	1880	2010-12-12	8	542	6683	22330	http://pbs.twimg.com/profile_images/1095760398282838017/a_8BwNFx_normal.png	https://pbs.twimg.com/profile_banners/225921757/1570571321	0084B4	FFFFFF	C0DFEC	333333
OR	Democrat	Merkley	Jeff	Jeff Merkley	SenJeffMerkley	junior	2		3753590	2911335	Senator Jeff Merkley	453645	910	4675	2009-04-06	10	692	10440	457292	http://pbs.twimg.com/profile_images/873324219630854144/-7ZzOONo_normal.jpg	https://pbs.twimg.com/profile_banners/29201047/1473699074	93A427	FFFFFF	D9E8F2	333333
OR	Democrat	Wyden	Ron	Ron Wyden	RonWyden	senior	3		3753590	2911335	Ron Wyden	465563	479	4143	2011-02-10	8	66	9047	FFFFFF	http://pbs.twimg.com/profile_images/847448688448294912/zobeO8dK_normal.jpg	https://pbs.twimg.com/profile_banners/250188760/1398198071	1784B6	C0DEED	DDEEF6	333333
PA	Democrat	Casey	Robert	Robert P. Casey, Jr.	SenBobCasey	senior	1		12390675	9725845	Senator Bob Casey	411404	637	3112	2010-07-27	9	638	9628	162F53	http://pbs.twimg.com/profile_images/748886037649297408/B4cLMsR__normal.jpg		2F6291	FFFFFF	EEEEEE	333333
PA	Republican	Toomey	Patrick	Patrick J. Toomey	SenToomey	junior	3		12390675	9725845	Senator Pat Toomey	132259	1041	2801	2010-11-29	8	238	4884	FFFFFF	http://pbs.twimg.com/profile_images/574930402214727683/gDu5VqMP_normal.jpeg	https://pbs.twimg.com/profile_banners/221162525/1434047453	DD2E44	FFFFFF	999999	333333
RI	Democrat	Reed	John	Jack Reed	SenJackReed	senior	2		986560	780250	Senator Jack Reed	95349	36	1840	2012-02-08	7	159	6041	C0DEED	http://pbs.twimg.com/profile_images/611042380846907393/L-JV9zuJ_normal.jpg	https://pbs.twimg.com/profile_banners/486694111/1431108911	42398A	FFFFFF	DDEEF6	333333
